id,name,original_name,cast_time,recast_time,is_player_ability,category_raw
0,,,0.0,0.0,false,0
1,Key Item,Key Item,0.0,0.0,false,8
2,Interaction,Interaction,5.0,0.0,false,8
3,Sprint,Sprint,0.0,60.0,false,10
4,Mount,Mount,1.0,0.0,false,5
5,Teleport,Teleport,5.0,0.0,false,11
6,Return,Return,5.0,900.0,false,11
7,attack,attack,0.0,0.0,false,1
8,Shot,Shot,0.0,0.0,false,1
9,Fast Blade,Fast Blade,0.0,2.5,true,3
10,Rampart,Rampart,0.0,90.0,false,4
11,Savage Blade,Savage Blade,0.0,2.5,false,3
12,Convalescence,Convalescence,0.0,120.0,false,4
13,Awareness,Awareness,0.0,120.0,false,4
14,Flash,Flash,0.0,2.5,false,2
15,Riot Blade,Riot Blade,0.0,2.5,true,3
16,Shield Bash,Shield Bash,0.0,2.5,true,3
17,Sentinel,Sentinel,0.0,120.0,true,4
18,Provoke,Provoke,0.0,15.0,false,4
19,Tempered Will,Tempered Will,0.0,180.0,false,4
20,Fight or Flight,Fight or Flight,0.0,60.0,true,4
21,Rage of Halone,Rage of Halone,0.0,2.5,true,3
22,Bulwark,Bulwark,0.0,90.0,true,4
23,Circle of Scorn,Circle of Scorn,0.0,30.0,true,4
24,Shield Lob,Shield Lob,0.0,2.5,true,3
25,Shield Swipe,Shield Swipe,0.0,15.0,false,4
26,Sword Oath,Sword Oath,0.0,2.5,false,2
27,Cover,Cover,0.0,120.0,true,4
28,Iron Will,Iron Will,0.0,2.0,true,4
29,Spirits Within,Spirits Within,0.0,30.0,true,4
30,Hallowed Ground,Hallowed Ground,0.0,420.0,true,4
31,Heavy Swing,Heavy Swing,0.0,2.5,true,3
32,Foresight,Foresight,0.0,120.0,false,4
33,Fracture,Fracture,0.0,2.5,false,3
34,Bloodbath,Bloodbath,0.0,90.0,false,4
35,Skull Sunder,Skull Sunder,0.0,2.5,false,3
36,Mercy Stroke,Mercy Stroke,0.0,90.0,false,4
37,Maim,Maim,0.0,2.5,true,3
38,Berserk,Berserk,0.0,60.0,true,4
39,Brutal Swing,Brutal Swing,0.0,20.0,false,4
40,Thrill of Battle,Thrill of Battle,0.0,90.0,true,4
41,Overpower,Overpower,0.0,2.5,true,3
42,Storm's Path,Storm's Path,0.0,2.5,true,3
43,Holmgang,Holmgang,0.0,240.0,true,4
